ABBV,2025-08-21,07:00,285.40,4.20,1.49%,14.8B,3.25
LLY,2025-08-21,07:00,785.40,12.60,1.63%,8.2B,9.85
UNP,2025-08-22,07:00,285.40,4.20,1.49%,6.2B,2.25
NSC,2025-08-22,07:00,285.40,4.20,1.49%,3.2B,3.25
CSX,2025-08-22,07:00,165.80,2.20,1.35%,3.8B,1.85
UPS,2025-08-23,07:00,165.80,2.20,1.35%,22.8B,2.85
FDX,2025-08-23,07:00,285.40,4.20,1.49%,22.8B,4.25
DAL,2025-08-23,07:00,85.40,-2.60,-2.96%,14.2B,1.95
UAL,2025-08-24,07:00,85.40,-2.60,-2.96%,12.8B,1.95
AAL,2025-08-24,07:00,85.40,-2.60,-2.96%,12.2B,1.95
LUV,2025-08-24,07:00,285.40,4.20,1.49%,6.8B,2.25
CMCSA,2025-08-25,07:00,485.20,8.40,1.76%,28.2B,3.85
CHTR,2025-08-25,07:00,285.40,4.20,1.49%,12.8B,4.25
PARA,2025-08-25,07:00,85.40,-2.60,-2.96%,6.8B,0.95
VZ,2025-08-26,07:00,85.40,-2.60,-2.96%,32.2B,1.25
T,2025-08-26,07:00,85.40,-2.60,-2.96%,28.8B,0.85
TMUS,2025-08-26,07:00,165.80,2.20,1.35%,18.2B,2.85
INTC,2025-08-27,16:00,42.30,-1.20,-2.76%,13.2B,0.35
AMD,2025-08-27,16:00,156.80,4.20,2.75%,5.8B,0.68
NVDA,2025-08-27,16:00,164.10,1.22,0.75%,45.61B,0.97
TSLA,2025-08-28,16:00,245.80,-8.20,-3.23%,24.5B,0.85
F,2025-08-28,07:00,85.40,-2.60,-2.96%,42.2B,1.95
GM,2025-08-28,07:00,165.80,2.20,1.35%,38.8B,2.85
AAPL,2025-08-29,16:00,198.50,5.20,2.69%,89.2B,1.45
MSFT,2025-08-29,16:00,415.80,12.30,3.05%,62.1B,2.85
GOOGL,2025-08-29,16:00,142.60,-2.40,-1.66%,74.8B,1.23
AMZN,2025-08-30,16:00,178.90,3.40,1.94%,155.8B,0.85
META,2025-08-30,16:00,485.20,15.80,3.37%,38.2B,4.12
CRM,2025-08-30,16:00,263.97,-6.95,-2.57%,10.13B,2.52 
